secs,km,power,hr,cad,alt
0,0,,85,76,39.8
3,0.0146,,89,70,40
9,0.0467,,92,0,39.8
18,0.0909,,95,73,39
21,0.1071,,98,79,39
31,0.1619,,95,0,39
33,0.1712,,92,0,38.8
34,0.1763,,92,69,38.8
39,0.2037,,95,83,38.4
42,0.2214,,98,84,38.4
45,0.2383,,101,81,38.4
48,0.2551,,104,77,38.4
59,0.3062,,104,69,38.8
60,0.3137,,104.5,71,38.8
61,0.3212,,105,73,38.8
62,0.3212,,105,73,38.8
63,0.3263,,105,73,38.8
64,0.3314,,105,73,38.8
65,0.3365,,105,73,38.8
66,0.3416,,106,73,38.8
67,0.3468,,106,73,38.8
68,0.3573,,107,76,38.8
69,0.3573,,107,76,38.8
70,0.3627,,107,77,38.8
71,0.3682,,107,78,39
72,0.3794,,108,71,39
73,0.3794,,108,71,39
74,0.3851,,109,72,39.4
75,0.391311,,108.667,71.5556,39.2667
76,0.397522,,108.333,71.1111,39.1333
77,0.403733,,108,70.6667,39
78,0.409944,,107.667,70.2222,38.8667
79,0.416156,,107.333,69.7778,38.7333
80,0.422367,,107,69.3333,38.6
81,0.428578,,106.667,68.8889,38.4667
82,0.434789,,106.333,68.4444,38.3333
83,0.441,,106,68,38.2
84,0.441,,106,68,38.2
85,0.44753,,106,69.1,38.2
86,0.45406,,106,70.2,38.2
87,0.46059,,106,71.3,38.2
88,0.46712,,106,72.4,38.2
89,0.47365,,106,73.5,38.2
90,0.48018,,106,74.6,38.2
91,0.48671,,106,75.7,38.2
92,0.49324,,106,76.8,38.2
93,0.49977,,106,77.9,38.2
94,0.5063,,106,79,38.2
95,0.5063,,106,79,38.2
96,0.513156,,106,78.5556,38.1333
97,0.520011,,106,78.1111,38.0667
98,0.526867,,106,77.6667,38
99,0.533722,,106,77.2222,37.9333
100,0.540578,,106,76.7778,37.8667
101,0.547433,,106,76.3333,37.8
102,0.554289,,106,75.8889,37.7333
103,0.561144,,106,75.4444,37.6667
104,0.568,,106,75,37.6
105,0.568,,106,75,37.6
106,0.57452,,106.2,67.5,37.6
107,0.58104,,106.4,60,37.6
108,0.58756,,106.6,52.5,37.6
109,0.59408,,106.8,45,37.6
110,0.6006,,107,37.5,37.6
111,0.60712,,107.2,30,37.6
112,0.61364,,107.4,22.5,37.6
113,0.62016,,107.6,15,37.6
114,0.62668,,107.8,7.5,37.6
115,0.6332,,108,0,37.6
116,0.6332,,108,0,37.6
117,0.640867,,108,24.3333,37.7333
118,0.648533,,108,48.6667,37.8667
119,0.6562,,108,73,38
120,0.6562,,108,73,38
121,0.66384,,108.6,75.4,38
122,0.67148,,109.2,77.8,38
123,0.67912,,109.8,80.2,38
124,0.68676,,110.4,82.6,38
125,0.6944,,111,85,38
126,0.6944,,111,85,38
127,0.701522,,111.333,84,38.0222
128,0.708644,,111.667,83,38.0444
129,0.715767,,112,82,38.0667
130,0.722889,,112.333,81,38.0889
131,0.730011,,112.667,80,38.1111
132,0.737133,,113,79,38.1333
133,0.744256,,113.333,78,38.1556
134,0.751378,,113.667,77,38.1778
135,0.7585,,114,76,38.2
136,0.7585,,114,76,38.2
137,0.76504,,114.1,75.6,38.28
138,0.77158,,114.2,75.2,38.36
139,0.77812,,114.3,74.8,38.44
140,0.78466,,114.4,74.4,38.52
141,0.7912,,114.5,74,38.6
142,0.79774,,114.6,73.6,38.68
143,0.80428,,114.7,73.2,38.76
144,0.81082,,114.8,72.8,38.84
145,0.81736,,114.9,72.4,38.92
146,0.8239,,115,72,39
147,0.8239,,115,72,39
148,0.83225,,115.5,71.5,39.1
149,0.8406,,116,71,39.2
150,0.8406,,116,71,39.2
151,0.8491,,116.5,71.5,39.4
152,0.8576,,117,72,39.6
153,0.8576,,117,72,39.6
154,0.86454,,116.8,72.2,39.64
155,0.87148,,116.6,72.4,39.68
156,0.87842,,116.4,72.6,39.72
157,0.88536,,116.2,72.8,39.76
158,0.8923,,116,73,39.8
159,0.8923,,116,73,39.8
160,0.8982,,116,74,39.8
161,0.906067,,116,74,39.8667
162,0.913933,,116,74,39.9333
163,0.9218,,116,74,40
164,0.9218,,116,74,40
165,0.9337,,116,75,40
166,0.9337,,116,75,40
167,0.94135,,115.75,76.5,40.05
168,0.949,,115.5,78,40.1
169,0.95665,,115.25,79.5,40.15
170,0.9643,,115,81,40.2
171,0.9643,,115,81,40.2
172,0.9772,,116,81,40.4
173,0.9772,,116,81,40.4
174,0.984875,,116,80,40.45
175,0.99255,,116,79,40.5
176,1.00023,,116,78,40.55
177,1.0079,,116,77,40.6
178,1.0079,,116,77,40.6
179,1.01573,,116,79,40.6
180,1.02357,,116,81,40.6
181,1.0314,,116,83,40.6
182,1.03923,,116,85,40.6
183,1.04707,,116,87,40.6
184,1.0549,,116,89,40.6
185,1.0549,,116,89,40.6
186,1.0677,,116,80,40.4
187,1.0677,,116,80,40.4
188,1.07479,,116.111,79.3333,40.3556
189,1.08188,,116.222,78.6667,40.3111
190,1.08897,,116.333,78,40.2667
191,1.09606,,116.444,77.3333,40.2222
192,1.10314,,116.556,76.6667,40.1778
193,1.11023,,116.667,76,40.1333
194,1.11732,,116.778,75.3333,40.0889
195,1.12441,,116.889,74.6667,40.0444
196,1.1315,,117,74,40
197,1.1315,,117,74,40
198,1.13993,,116.571,63.4286,39.9429
199,1.14836,,116.143,52.8571,39.8857
200,1.15679,,115.714,42.2857,39.8286
201,1.16521,,115.286,31.7143,39.7714
202,1.17364,,114.857,21.1429,39.7143
203,1.18207,,114.429,10.5714,39.6571
204,1.1905,,114,0,39.6
205,1.1905,,114,0,39.6
206,1.2027,,112.5,0,39.5
207,1.2149,,111,0,39.4
208,1.2149,,111,0,39.4
209,1.2308,,109,0,38.8
210,1.2308,,109,0,38.8
211,1.24195,,108,0,38.3
212,1.2531,,107,0,37.8
213,1.2531,,107,0,37.8
214,1.2599,,107,82,37.4
215,1.2732,,107,77,36.2
216,1.2732,,107,77,36.2
217,1.28043,,107.143,76.7143,36.1143
218,1.28766,,107.286,76.4286,36.0286
219,1.29489,,107.429,76.1429,35.9429
220,1.30211,,107.571,75.8571,35.8571
221,1.30934,,107.714,75.5714,35.7714
222,1.31657,,107.857,75.2857,35.6857
223,1.3238,,108,75,35.6
224,1.3238,,108,75,35.6
225,1.3325,,108,76,35.6667
226,1.3412,,108,77,35.7333
227,1.3499,,108,78,35.8
228,1.3499,,108,78,35.8
229,1.35701,,108.375,77.375,35.8
230,1.36413,,108.75,76.75,35.8
231,1.37124,,109.125,76.125,35.8
232,1.37835,,109.5,75.5,35.8
233,1.38546,,109.875,74.875,35.8
234,1.39258,,110.25,74.25,35.8
235,1.39969,,110.625,73.625,35.8
236,1.4068,,111,73,35.8
237,1.4068,,111,73,35.8
238,1.41389,,111.25,73.75,35.8
239,1.42098,,111.5,74.5,35.8
240,1.42806,,111.75,75.25,35.8
241,1.43515,,112,76,35.8
242,1.44224,,112.25,76.75,35.8
243,1.44933,,112.5,77.5,35.8
244,1.45641,,112.75,78.25,35.8
245,1.4635,,113,79,35.8
246,1.4635,,113,79,35.8
247,1.47081,,113.222,79,35.8444
248,1.47812,,113.444,79,35.8889
249,1.48543,,113.667,79,35.9333
250,1.49274,,113.889,79,35.9778
251,1.50006,,114.111,79,36.0222
252,1.50737,,114.333,79,36.0667
253,1.51468,,114.556,79,36.1111
254,1.52199,,114.778,79,36.1556
255,1.5293,,115,79,36.2
256,1.5293,,115,79,36.2
257,1.53667,,115.111,79,36.1778
258,1.54403,,115.222,79,36.1556
259,1.5514,,115.333,79,36.1333
260,1.55877,,115.444,79,36.1111
261,1.56613,,115.556,79,36.0889
262,1.5735,,115.667,79,36.0667
263,1.58087,,115.778,79,36.0444
264,1.58823,,115.889,79,36.0222
265,1.5956,,116,79,36
266,1.5956,,116,79,36
267,1.60271,,116.111,79.5556,36
268,1.60982,,116.222,80.1111,36
269,1.61693,,116.333,80.6667,36
270,1.62404,,116.444,81.2222,36
271,1.63116,,116.556,81.7778,36
272,1.63827,,116.667,82.3333,36
273,1.64538,,116.778,82.8889,36
274,1.65249,,116.889,83.4444,36
275,1.6596,,117,84,36
276,1.6596,,117,84,36
277,1.66644,,117.6,83.2,36.12
278,1.67328,,118.2,82.4,36.24
279,1.68012,,118.8,81.6,36.36
280,1.68696,,119.4,80.8,36.48
281,1.6938,,120,80,36.6
282,1.6938,,120,80,36.6
283,1.7048,,121,78,37.4
284,1.7048,,121,78,37.4
285,1.7128,,122.5,76.5,37.8
286,1.7208,,124,75,38.2
287,1.7208,,124,75,38.2
288,1.726,,124,75,38.2
289,1.7366,,126,75,38.6
290,1.7366,,126,75,38.6
291,1.74308,,126.75,74.5,38.8
292,1.74955,,127.5,74,39
293,1.75603,,128.25,73.5,39.2
294,1.7625,,129,73,39.4
295,1.7625,,129,73,39.4
296,1.77005,,129.5,72,39.6
297,1.7776,,130,71,39.8
298,1.7776,,130,71,39.8
299,1.78413,,129.667,70.6667,40.1333
300,1.79067,,129.333,70.3333,40.4667
301,1.7972,,129,70,40.8
302,1.7972,,129,70,40.8
303,1.8069,,129,70,41
304,1.8069,,129,70,41
305,1.81425,,129.5,70,41.2
306,1.8216,,130,70,41.4
307,1.8216,,130,70,41.4
308,1.8312,,130,68,42
309,1.8312,,130,68,42
310,1.83747,,130,67.6667,42.4667
311,1.84373,,130,67.3333,42.9333
312,1.85,,130,67,43.4
313,1.85,,130,67,43.4
314,1.85715,,130,67.5,43.7
315,1.8643,,130,68,44
316,1.8643,,130,68,44
317,1.8715,,129.5,68.5,44.2
318,1.8787,,129,69,44.4
319,1.8787,,129,69,44.4
320,1.88455,,129.25,68,44.7
321,1.8904,,129.5,67,45
322,1.89625,,129.75,66,45.3
323,1.9021,,130,65,45.6
324,1.9021,,130,65,45.6
325,1.90758,,130,64.75,45.9
326,1.91305,,130,64.5,46.2
327,1.91853,,130,64.25,46.5
328,1.924,,130,64,46.8
329,1.924,,130,64,46.8
330,1.9298,,129.5,64.75,47
331,1.9356,,129,65.5,47.2
332,1.9414,,128.5,66.25,47.4
333,1.9472,,128,67,47.6
334,1.9472,,128,67,47.6
335,1.9518,,127,66,48
336,1.95741,,127,66.5714,48.0571
337,1.96303,,127,67.1429,48.1143
338,1.96864,,127,67.7143,48.1714
339,1.97426,,127,68.2857,48.2286
340,1.97987,,127,68.8571,48.2857
341,1.98549,,127,69.4286,48.3429
342,1.9911,,127,70,48.4
343,1.9911,,127,70,48.4
344,1.99784,,127.222,70.5556,48.3778
345,2.00459,,127.444,71.1111,48.3556
346,2.01133,,127.667,71.6667,48.3333
347,2.01808,,127.889,72.2222,48.3111
348,2.02482,,128.111,72.7778,48.2889
349,2.03157,,128.333,73.3333,48.2667
350,2.03831,,128.556,73.8889,48.2444
351,2.04506,,128.778,74.4444,48.2222
352,2.0518,,129,75,48.2
353,2.0518,,129,75,48.2
354,2.05806,,128.9,74.8,48.2
355,2.06432,,128.8,74.6,48.2
356,2.07058,,128.7,74.4,48.2
357,2.07684,,128.6,74.2,48.2
358,2.0831,,128.5,74,48.2
359,2.08936,,128.4,73.8,48.2
360,2.09562,,128.3,73.6,48.2
361,2.10188,,128.2,73.4,48.2
362,2.10814,,128.1,73.2,48.2
363,2.1144,,128,73,48.2
364,2.1144,,128,73,48.2
365,2.12227,,128,73.3333,48.4
366,2.13013,,128,73.6667,48.6
367,2.138,,128,74,48.8
368,2.138,,128,74,48.8
369,2.14463,,128,73.7143,48.8286
370,2.15126,,128,73.4286,48.8571
371,2.15789,,128,73.1429,48.8857
372,2.16451,,128,72.8571,48.9143
373,2.17114,,128,72.5714,48.9429
374,2.17777,,128,72.2857,48.9714
375,2.1844,,128,72,49
376,2.1844,,128,72,49
377,2.19047,,127.667,71.6667,49.0444
378,2.19653,,127.333,71.3333,49.0889
379,2.2026,,127,71,49.1333
380,2.20867,,126.667,70.6667,49.1778
381,2.21473,,126.333,70.3333,49.2222
382,2.2208,,126,70,49.2667
383,2.22687,,125.667,69.6667,49.3111
384,2.23293,,125.333,69.3333,49.3556
385,2.239,,125,69,49.4
386,2.239,,125,69,49.4
387,2.2501,,125,70,50.2
388,2.2501,,125,70,50.2
389,2.25616,,125.1,70,50.3
390,2.26222,,125.2,70,50.4
391,2.26828,,125.3,70,50.5
392,2.27434,,125.4,70,50.6
393,2.2804,,125.5,70,50.7
394,2.28646,,125.6,70,50.8
395,2.29252,,125.7,70,50.9
396,2.29858,,125.8,70,51
397,2.30464,,125.9,70,51.1
398,2.3107,,126,70,51.2
399,2.3107,,126,70,51.2
400,2.3163,,125,70,51.2
401,2.3226,,125,70.3,51.3
402,2.3289,,125,70.6,51.4
403,2.3352,,125,70.9,51.5
404,2.3415,,125,71.2,51.6
405,2.3478,,125,71.5,51.7
406,2.3541,,125,71.8,51.8
407,2.3604,,125,72.1,51.9
408,2.3667,,125,72.4,52
409,2.373,,125,72.7,52.1
410,2.3793,,125,73,52.2
411,2.3793,,125,73,52.2
412,2.391,,125,74,52.2
413,2.391,,125,74,52.2
414,2.39745,,125.3,73.9,52.26
415,2.4039,,125.6,73.8,52.32
416,2.41035,,125.9,73.7,52.38
417,2.4168,,126.2,73.6,52.44
418,2.42325,,126.5,73.5,52.5
419,2.4297,,126.8,73.4,52.56
420,2.43615,,127.1,73.3,52.62
421,2.4426,,127.4,73.2,52.68
422,2.44905,,127.7,73.1,52.74
423,2.4555,,128,73,52.8
424,2.4555,,128,73,52.8
425,2.46263,,128,72.75,52.9
426,2.46975,,128,72.5,53
427,2.47688,,128,72.25,53.1
428,2.484,,128,72,53.2
429,2.484,,128,72,53.2
430,2.49014,,128,71.9,53.28
431,2.49628,,128,71.8,53.36
432,2.50242,,128,71.7,53.44
433,2.50856,,128,71.6,53.52
434,2.5147,,128,71.5,53.6
435,2.52084,,128,71.4,53.68
436,2.52698,,128,71.3,53.76
437,2.53312,,128,71.2,53.84
438,2.53926,,128,71.1,53.92
439,2.5454,,128,71,54
440,2.5454,,128,71,54
441,2.5566,,127,71,54.2
442,2.5566,,127,71,54.2
443,2.5623,,127,72,54.4
444,2.56884,,127.1,72.6,54.48
445,2.57538,,127.2,73.2,54.56
446,2.58192,,127.3,73.8,54.64
447,2.58846,,127.4,74.4,54.72
448,2.595,,127.5,75,54.8
449,2.60154,,127.6,75.6,54.88
450,2.60808,,127.7,76.2,54.96
451,2.61462,,127.8,76.8,55.04
452,2.62116,,127.9,77.4,55.12
453,2.6277,,128,78,55.2
454,2.6277,,128,78,55.2
455,2.63483,,127.571,66.8571,55.2571
456,2.64196,,127.143,55.7143,55.3143
457,2.64909,,126.714,44.5714,55.3714
458,2.65621,,126.286,33.4286,55.4286
459,2.66334,,125.857,22.2857,55.4857
460,2.67047,,125.429,11.1429,55.5429
461,2.6776,,125,0,55.6
462,2.6776,,125,0,55.6
463,2.68481,,124.778,6.44444,55.4889
464,2.69202,,124.556,12.8889,55.3778
465,2.69923,,124.333,19.3333,55.2667
466,2.70644,,124.111,25.7778,55.1556
467,2.71366,,123.889,32.2222,55.0444
468,2.72087,,123.667,38.6667,54.9333
469,2.72808,,123.444,45.1111,54.8222
470,2.73529,,123.222,51.5556,54.7111
471,2.7425,,123,58,54.6
472,2.7425,,123,58,54.6
473,2.75068,,122.25,43.5,54.5
474,2.75885,,121.5,29,54.4
475,2.76703,,120.75,14.5,54.3
476,2.7752,,120,0,54.2
477,2.7752,,120,0,54.2
478,2.78387,,119,26,54.1333
479,2.79253,,118,52,54.0667
480,2.8012,,117,78,54
481,2.8012,,117,78,54
482,2.80956,,116.4,77.6,54
483,2.81792,,115.8,77.2,54
484,2.82628,,115.2,76.8,54
485,2.83464,,114.6,76.4,54
486,2.843,,114,76,54
487,2.843,,114,76,54
488,2.85098,,113.4,60.8,53.96
489,2.85896,,112.8,45.6,53.92
490,2.86694,,112.2,30.4,53.88
491,2.87492,,111.6,15.2,53.84
492,2.8829,,111,0,53.8
493,2.8829,,111,0,53.8
494,2.8926,,110.5,38.5,53.7
495,2.9023,,110,77,53.6
496,2.9023,,110,77,53.6
497,2.91006,,110.125,67.375,53.525
498,2.91783,,110.25,57.75,53.45
499,2.92559,,110.375,48.125,53.375
500,2.93335,,110.5,38.5,53.3
501,2.94111,,110.625,28.875,53.225
502,2.94888,,110.75,19.25,53.15
503,2.95664,,110.875,9.625,53.075
504,2.9644,,111,0,53
505,2.9644,,111,0,53
