secs,km,power,hr,cad,alt
0,0,,,,298.441
1,0.00066999,,,,289.491
2,0.00134007,,,,282.555
3,0.00154466,,,,276.035
4,0.00203048,,,,271.287
5,0.00232553,,,,269.088
6,0.00252313,,,,265.667
7,0.00294929,,,,264.668
8,0.00322455,,,,263.567
9,0.00332407,,,,262.618
10,0.00361263,,,,262.428
11,0.00380654,,,,261.157
12,0.00422398,,,,260.582
13,0.0045618,,,,260.873
14,0.00475542,,,,259.983
15,0.00503068,,,,259.045
16,0.00543906,,,,257.76
17,0.00543906,,,,256.827
18,0.00773959,,,,256.596
19,0.00773959,,,,257.013
20,0.00773959,,,,260.512
21,0.00773959,,,,264.143
22,0.00773959,,,,265.401
23,0.00773959,,,,266.691
24,0.00773959,,,,267.317
25,0.00773959,,,,267.339
26,0.00773959,,,,267.349
27,0.00773959,,,,267.359
28,0.00773959,,,,267.362
29,0.00773959,,,,267.365
30,0.00773959,,,,267.368
31,0.00773959,,,,267.367
32,0.00773959,,,,267.368
33,0.00773959,,,,267.372
34,0.00773959,,,,267.379
35,0.00773959,,,,267.388
36,0.00773959,,,,267.398
37,0.00773959,,,,267.411
38,0.00773959,,,,267.426
39,0.00773959,,,,267.448
40,0.00773959,,,,267.473
41,0.00773959,,,,267.497
42,0.00773959,,,,267.52
43,0.00773959,,,,267.546
44,0.00773959,,,,267.576
45,0.00773959,,,,267.607
46,0.00773959,,,,267.637
47,0.00773959,,,,267.667
48,0.00773959,,,,267.696
49,0.00773959,,,,267.724
50,0.00773959,,,,267.751
51,0.00773959,,,,267.776
52,0.00773959,,,,267.799
53,0.00773959,,,,267.833
54,0.00773959,,,,267.873
55,0.00773959,,,,268.311
56,0.00773959,,,,268.356
57,0.00773959,,,,268.838
58,0.00773959,,,,268.886
59,0.00773959,,,,268.934
60,0.00773959,,,,269.492
61,0.00773959,,,,269.968
62,0.00773959,,,,270.017
63,0.00773959,,,,270.071
64,0.00773959,,,,270.125
65,0.00773959,,,,270.631
66,0.00773959,,,,271.042
67,0.018223,,,,271.471
68,0.0215494,,,,271.824
69,0.0250323,,,,272.147
70,0.0287556,,,,272.458
71,0.0327358,,,,272.775
72,0.0368051,,,,273.142
73,0.04102,,,,273.53
74,0.0454783,,,,273.92
75,0.0500917,,,,274.333
76,0.05468,,,,274.783
77,0.0621191,,,,275.253
78,0.0693973,,,,279.922
79,0.0738083,,,,284.317
80,0.0782274,,,,288.208
81,0.082933,,,,291.523
82,0.0903426,,,,294.228
83,0.0946619,,,,296.045
84,0.0988402,,,,297.507
85,0.102987,,,,298.508
86,0.107018,,,,299.265
87,0.110964,,,,299.906
88,0.114989,,,,300.162
89,0.119239,,,,300.404
90,0.123524,,,,299.915
91,0.127691,,,,298.872
92,0.13183,,,,298.375
93,0.135711,,,,297.586
94,0.13976,,,,296.136
95,0.143972,,,,295.309
96,0.148522,,,,294.672
97,0.152899,,,,293.689
98,0.157354,,,,292.761
99,0.161925,,,,292.49
100,0.166631,,,,292.298
101,0.171068,,,,292.673
102,0.175346,,,,292.611
103,0.179799,,,,292.701
104,0.184651,,,,292.97
105,0.189585,,,,292.533
106,0.194533,,,,292.751
107,0.199522,,,,293.544
108,0.204504,,,,293.973
109,0.209627,,,,294.399
110,0.214777,,,,294.971
111,0.219891,,,,295.833
112,0.224893,,,,296.793
113,0.229929,,,,297.726
114,0.234775,,,,298.194
115,0.23955,,,,298.289
116,0.244317,,,,297.775
117,0.249079,,,,297.565
118,0.253925,,,,297.577
119,0.258792,,,,297.332
120,0.263689,,,,296.715
121,0.268579,,,,296.373
122,0.27358,,,,295.918
123,0.278511,,,,295.681
124,0.283393,,,,295.163
125,0.288282,,,,294.849
