secs,km,power,hr,cad,alt
0,0,,104,81,235.766
1,0.0111389,,105,79,235.766
2,0.0208611,,106,78,235.766
3,0.0266611,,106,79,236.832
4,0.0324611,,107,81,236.832
5,0.0383611,,108,83,236.832
6,0.0443611,,109,84,236.832
7,0.0504611,,110,86,236.832
8,0.0566611,,110,86,236.832
9,0.0628611,,111,86,236.832
10,0.0691611,,112,86,236.832
11,0.0754611,,112,86,236.832
12,0.0817611,,111,85,236.832
13,0.0880611,,112,85,236.832
14,0.0942611,,112,85,236.832
15,0.100461,,112,86,236.832
16,0.106561,,113,86,236.832
17,0.112661,,113,87,236.832
18,0.118861,,113,88,236.832
19,0.125061,,113,88,236.832
20,0.131361,,114,88,236.832
21,0.137561,,114,87,236.832
22,0.143761,,114,87,236.832
23,0.149961,,114,86,236.832
24,0.156061,,114,86,236.832
25,0.162261,,115,88,236.832
26,0.168361,,115,84,236.832
27,0.174561,,115,80,236.832
28,0.180761,,115,79,236.832
29,0.187061,,115,79,236.832
30,0.193461,,115,79,236.832
31,0.200061,,116,80,236.832
32,0.206761,,116,81,236.832
33,0.213561,,116,82,236.832
34,0.220561,,116,83,236.832
35,0.227561,,117,84,236.832
36,0.234761,,117,85,236.832
37,0.241961,,117,87,236.832
38,0.249361,,117,88,235.766
39,0.256761,,117,89,235.766
40,0.264361,,117,90,235.766
41,0.271961,,117,85,235.766
42,0.279761,,117,84,235.766
43,0.287561,,117,83,235.766
44,0.295461,,117,83,235.766
45,0.303361,,132,83,235.766
46,0.311361,,142,83,235.766
47,0.319261,,148,83,235.766
48,0.327261,,148,83,235.766
49,0.335261,,148,84,235.766
50,0.343261,,149,84,234.851
51,0.351161,,149,84,234.851
52,0.359061,,149,84,234.851
53,0.366961,,150,85,234.851
54,0.374961,,150,85,234.851
55,0.382961,,150,85,234.851
56,0.390961,,151,85,234.851
57,0.399061,,151,85,234.851
58,0.407161,,151,84,234.851
59,0.415161,,151,43,234.851
60,0.423161,,152,25,233.784
61,0.430961,,152,17,233.784
62,0.438661,,152,0,233.784
63,0.446261,,153,0,233.784
64,0.453661,,153,76,233.784
65,0.460961,,143,43,233.784
66,0.467961,,143,20,233.784
67,0.474861,,143,17,233.784
68,0.481561,,136,0,232.718
69,0.487761,,129,0,232.718
70,0.493561,,129,0,232.718
71,0.498561,,129,0,232.718
72,0.502061,,129,0,232.718
73,0.505761,,129,68,232.718
74,0.510261,,129,70,232.718
75,0.515061,,129,75,232.718
76,0.518961,,129,77,231.803
77,0.523361,,124,79,231.803
78,0.530161,,123,82,231.803
79,0.539361,,122,84,231.803
80,0.549161,,120,86,230.736
81,0.558261,,120,87,230.736
82,0.567561,,119,89,230.736
83,0.576561,,119,90,230.736
84,0.585361,,119,90,230.736
85,0.594061,,138,90,230.736
86,0.602861,,138,91,230.736
87,0.611761,,138,91,230.736
88,0.620561,,153,91,230.736
89,0.629261,,153,88,230.736
90,0.637961,,153,44,230.736
91,0.646461,,153,39,230.736
92,0.654861,,153,39,229.822
93,0.663161,,153,39,229.822
94,0.671461,,153,86,228.755
95,0.679661,,153,87,228.755
96,0.687861,,153,88,228.755
97,0.695961,,154,88,228.755
98,0.704161,,154,88,228.755
99,0.712361,,154,88,228.755
100,0.720561,,154,88,228.755
101,0.728761,,154,88,228.755
102,0.737061,,154,88,228.755
103,0.745361,,154,88,228.755
104,0.753661,,154,88,228.755
105,0.761861,,154,87,228.755
106,0.770061,,154,87,228.755
107,0.778161,,154,87,228.755
108,0.786261,,154,87,228.755
109,0.794361,,154,87,228.755
110,0.802461,,154,86,228.755
111,0.810461,,154,86,228.755
112,0.818461,,154,85,228.755
113,0.826361,,155,85,228.755
114,0.834261,,155,84,227.841
115,0.842061,,155,84,227.841
116,0.849861,,155,83,227.841
117,0.857461,,155,82,227.841
118,0.865061,,155,82,227.841
119,0.872661,,155,80,227.841
120,0.880061,,155,80,227.841
121,0.887461,,155,80,227.841
122,0.894761,,155,80,227.841
123,0.902061,,155,80,227.841
124,0.909461,,155,80,227.841
125,0.916661,,155,79,227.841
126,0.923961,,155,78,227.841
127,0.931161,,155,78,227.841
128,0.938361,,155,77,226.774
129,0.945461,,156,76,226.774
130,0.952561,,156,75,226.774
131,0.959561,,156,74,226.774
132,0.966361,,156,77,226.774
133,0.972861,,156,43,226.774
134,0.979161,,156,25,226.774
135,0.985261,,156,21,226.774
136,0.991061,,156,21,226.774
137,0.996761,,156,21,226.774
138,1.00226,,147,21,226.774
