secs,km,power,hr,cad,alt
0,0,86,,15,283.6
1,0.0014,61,,25,283.6
2,0.0031,19,,25,283.6
3,0.0047,0,,0,283.6
4,0.0056,0,,0,283.6
5,0.0058,0,,0,283.6
6,0.0058,0,,0,283.6
7,0.0058,0,,0,283.6
37,0.0058,80,,0,283.6
38,0.0064,139,,34,283.6
39,0.0081,151,,34,283.6
40,0.0104,152,,47,283.6
41,0.0135,151,,48,283.6
42,0.0168,147,,52,283.6
43,0.0205,139,,54,283.6
44,0.0244,139,,56,283.6
45,0.0288,147,,58,283.6
46,0.0333,159,,59,283.6
47,0.038,167,,60,283.6
48,0.0431,164,,60,283.6
49,0.0485,144,,60,283.6
50,0.0541,128,,60,283.6
51,0.0594,120,,61,283.6
52,0.0654,117,,61,283.8
53,0.0716,116,,61,283.8
54,0.0774,116,,62,283.8
55,0.0839,104,,63,283.8
56,0.0906,82,,62,283.8
57,0.0972,75,,61,283.8
58,0.104,80,,61,283.8
59,0.1112,86,,59,283.8
60,0.1177,90,,58,283.8
61,0.1252,93,,58,283.8
62,0.1319,92,,57,283.8
63,0.139,90,,56,283.8
64,0.1462,86,,55,283.8
65,0.1535,79,,55,283.8
66,0.1608,83,,56,283.8
67,0.1679,91,,56,283.8
68,0.1755,93,,55,283.8
69,0.1825,97,,55,283.8
70,0.1902,98,,55,283.8
71,0.1972,98,,55,283.8
72,0.2048,100,,55,283.8
73,0.2124,102,,56,283.8
74,0.2198,102,,56,283.8
75,0.2278,104,,56,283.8
76,0.2355,107,,56,283.8
77,0.2432,116,,57,283.8
78,0.2513,103,,57,283.8
79,0.2592,85,,55,283.8
80,0.2666,85,,55,283.8
81,0.2744,80,,55,283.8
82,0.2824,85,,55,283.8
83,0.29,78,,58,283.8
84,0.2975,83,,58,283.8
85,0.3051,91,,57,283.8
86,0.3132,95,,60,283.8
87,0.3207,102,,59,284
88,0.3277,107,,58,284
89,0.3348,107,,59,284
90,0.3416,102,,59,284
91,0.3486,99,,59,284.2
92,0.3559,98,,60,284.2
93,0.3629,102,,60,284.2
94,0.37,104,,60,284.2
95,0.3771,108,,60,284.4
96,0.3841,106,,60,284.4
97,0.3915,100,,60,284.4
98,0.3981,96,,60,284.4
99,0.4053,98,,60,284.6
100,0.4125,102,,60,284.6
101,0.4192,101,,60,284.6
102,0.4263,100,,60,284.6
103,0.4329,100,,60,284.6
104,0.44,101,,60,284.6
105,0.4471,95,,60,284.4
106,0.454,91,,60,284.4
107,0.4614,96,,60,284.4
108,0.4686,96,,59,284.4
109,0.4761,95,,59,284.4
110,0.4833,107,,62,284.2
111,0.4907,114,,62,284.2
112,0.4983,100,,61,284.2
113,0.5059,90,,61,284.2
114,0.5137,93,,61,284
115,0.5215,98,,60,284
116,0.5294,100,,60,283.8
117,0.5378,100,,60,283.8
118,0.5457,100,,60,283.8
119,0.5541,102,,60,283.6
120,0.5623,100,,59,283.6
121,0.5706,95,,59,283.6
122,0.5788,88,,59,283.6
123,0.5873,92,,59,283.6
124,0.5948,97,,60,283.6
125,0.6026,100,,60,283.6
126,0.6106,102,,60,283.6
127,0.6184,102,,60,283.6
128,0.6262,104,,60,283.4
129,0.6343,98,,60,283.4
130,0.6426,97,,60,283.2
131,0.6509,93,,60,283
132,0.6595,93,,60,283
133,0.6681,93,,60,282.8
134,0.677,101,,60,282.8
135,0.6859,102,,60,282.6
136,0.6947,101,,60,282.4
137,0.7042,100,,60,282.4
138,0.7134,96,,60,282.2
139,0.7226,96,,60,282
140,0.7321,98,,60,281.8
141,0.7418,102,,60,281.8
142,0.7512,105,,60,281.6
143,0.761,102,,59,281.4
144,0.7708,98,,59,281.2
145,0.781,97,,60,281.2
146,0.7907,95,,60,281
147,0.8009,99,,60,280.8
148,0.811,99,,60,280.6
149,0.8208,97,,60,280.6
150,0.831,95,,59,280.4
151,0.8414,94,,58,280.2
152,0.8516,96,,59,280.2
153,0.862,96,,60,280
154,0.872,93,,59,279.8
155,0.8825,91,,59,279.8
156,0.8929,94,,59,279.8
157,0.9029,97,,58,279.8
158,0.9129,98,,59,280
159,0.9225,99,,60,280.2
160,0.9319,103,,60,280.4
161,0.941,100,,60,280.6
162,0.9497,96,,59,280.6
163,0.9583,94,,59,280.8
164,0.9666,96,,59,281
165,0.9746,98,,60,281.2
166,0.9825,100,,59,281.2
167,0.9905,99,,59,281.4
168,0.9977,96,,59,281.6
169,1.0054,94,,60,281.8
170,1.0128,100,,60,281.8
171,1.0205,108,,61,282
172,1.0278,113,,61,282.2
173,1.0352,114,,60,282.2
174,1.0422,104,,60,282.4
175,1.0497,100,,60,282.4
176,1.0564,102,,61,282.4
177,1.0638,105,,61,282.4
178,1.0709,105,,61,282.4
179,1.0782,107,,61,282.4
180,1.085,113,,61,282.6
181,1.0927,114,,61,282.6
182,1.1,116,,61,282.6
183,1.107,107,,60,282.6
184,1.1143,98,,60,282.6
185,1.1219,90,,60,282.6
186,1.1295,90,,60,282.6
187,1.1367,84,,60,282.6
188,1.1442,84,,61,282.6
189,1.1519,90,,60,282.6
190,1.1595,97,,61,282.6
191,1.167,109,,61,282.4
192,1.175,109,,60,282.4
193,1.1828,101,,60,282.4
194,1.1907,96,,60,282.4
195,1.1987,97,,60,282.2
196,1.2068,98,,60,282.2
197,1.2148,97,,60,282.2
198,1.2229,96,,60,282
199,1.2312,99,,60,282
200,1.2397,97,,60,281.8
201,1.2477,100,,60,281.8
202,1.2561,101,,60,281.8
203,1.2645,99,,60,281.6
204,1.2732,103,,61,281.6
205,1.2813,105,,60,281.6
206,1.2897,100,,59,281.4
207,1.2983,93,,59,281.4
208,1.3068,94,,60,281.2
209,1.3154,94,,59,281.2
210,1.3238,93,,58,281.2
211,1.3327,100,,60,281
212,1.3412,108,,61,281
213,1.3496,110,,61,281
214,1.3584,108,,61,280.8
215,1.3669,103,,61,280.8
216,1.3753,96,,60,280.8
217,1.3842,95,,60,280.8
218,1.3928,97,,60,280.6
219,1.4015,98,,60,280.6
220,1.4098,95,,60,280.4
221,1.4186,94,,60,280.2
222,1.4277,97,,60,280
223,1.4368,94,,59,280
224,1.4456,90,,59,279.8
225,1.4547,93,,60,279.8
226,1.4639,99,,60,279.8
227,1.4726,101,,60,279.8
228,1.4813,96,,59,279.8
229,1.4902,95,,59,279.8
230,1.4987,97,,59,279.8
231,1.5077,104,,59,279.8
232,1.5161,107,,61,279.8
233,1.5247,109,,61,279.8
234,1.5327,108,,61,279.8
235,1.541,99,,60,279.8
236,1.5492,91,,59,279.8
237,1.5573,95,,60,280
238,1.5659,96,,60,280
239,1.5735,85,,60,280
240,1.5814,85,,56,280
241,1.5888,55,,50,280
242,1.5966,17,,50,280
243,1.6036,0,,0,280.2
244,1.6099,0,,0,280.2
245,1.6154,0,,0,280.2
246,1.6199,0,,0,280.2
247,1.6236,0,,0,280.2
248,1.6266,0,,0,280.2
249,1.6285,0,,0,280.2
250,1.6297,0,,0,280.4
251,1.6301,0,,0,280.4
252,1.6301,0,,0,280.4
253,1.6302,30,,30,280.4
254,1.6309,85,,39,280.4
255,1.6323,135,,52,280.4
256,1.6347,177,,59,280.4
257,1.6377,188,,60,280.4
258,1.6412,181,,60,280.4
259,1.6447,153,,61,280.4
260,1.6486,136,,62,280.6
261,1.6528,122,,62,280.6
262,1.6571,112,,63,280.6
263,1.6612,111,,63,280.6
264,1.6657,114,,63,280.8
265,1.6704,113,,62,280.8
266,1.6752,107,,63,280.8
267,1.6804,87,,61,280.8
268,1.6854,87,,61,281
269,1.6906,88,,61,281
270,1.6958,94,,61,281
271,1.701,98,,60,281
272,1.7062,99,,61,281.2
273,1.7115,114,,63,281.2
274,1.7164,114,,63,281.2
275,1.7218,114,,61,281.4
276,1.7273,107,,62,281.4
277,1.7326,109,,63,281.4
278,1.7381,120,,62,281.6
279,1.7425,123,,62,281.8
280,1.7472,121,,64,281.8
281,1.7517,116,,63,281.8
282,1.7563,110,,63,281.8
283,1.7613,107,,63,281.8
284,1.7659,107,,63,281.8
285,1.7711,109,,63,281.8
286,1.7762,112,,63,281.8
287,1.782,113,,64,281.8
288,1.7871,114,,64,281.8
289,1.7927,115,,64,281.8
290,1.7984,111,,64,281.8
291,1.804,107,,64,281.8
292,1.81,105,,64,282
293,1.8158,105,,64,282
294,1.822,108,,64,282
295,1.8277,108,,63,282
296,1.8338,110,,63,282
297,1.8404,107,,63,282
298,1.8464,107,,63,282
299,1.8527,107,,63,282
300,1.8593,110,,63,282
301,1.8658,109,,62,282
302,1.8721,106,,63,282
303,1.8787,104,,63,282
304,1.8856,107,,63,282
305,1.8925,109,,62,281.8
306,1.8994,114,,63,281.8
307,1.9064,117,,64,281.8
308,1.9133,120,,64,281.8
309,1.9204,118,,64,281.8
310,1.9276,117,,64,281.8
311,1.935,113,,64,281.8
312,1.9426,109,,64,281.6
313,1.9498,108,,64,281.6
314,1.9575,113,,64,281.6
315,1.9651,117,,65,281.6
316,1.9726,118,,64,281.4
317,1.9802,119,,64,281.4
318,1.9881,118,,64,281.4
319,1.9965,119,,64,281.2
320,2.0044,115,,64,281
321,2.0129,116,,64,281
