secs,km,power,hr,cad,alt
0,0,,,,783.2
1,0.00370989,,,,783.2
2,0.00766734,,,,783
3,0.0120958,,,,783
4,0.0170085,,,,783
5,0.022238,,,,783
6,0.0275613,,,,782.8
7,0.0330822,,,,782.8
8,0.0386353,,,,782.8
9,0.044284,,,,782.8
10,0.05029,,,,782.8
11,0.0565677,,,,782.8
12,0.0630849,,,,782.6
13,0.0698874,,,,782.6
14,0.0769332,,,,782.4
15,0.0841346,,,,782.2
16,0.0913944,,,,782
17,0.0988983,,,,781.8
18,0.106596,,,,781.6
19,0.11446,,,,781.4
20,0.122377,,,,781.2
21,0.130335,,,,781.2
22,0.138302,,,,781
23,0.146317,,,,780.8
24,0.154385,,,,780.4
25,0.162437,,,,780.4
26,0.170592,,,,780.2
27,0.178907,,,,780
28,0.187209,,,,779.6
29,0.195507,,,,779.4
30,0.203854,,,,779.2
31,0.212086,,,,779
32,0.220426,,,,778.6
33,0.228775,,,,778.2
34,0.237241,,,,778
35,0.245762,,,,777.8
36,0.254314,,,,777.6
37,0.262863,,,,777.4
38,0.271445,,,,777.2
39,0.279973,,,,777.2
40,0.288503,,,,777.2
41,0.297023,,,,777
42,0.305491,,,,777
43,0.313937,,,,776.8
44,0.322415,,,,776.8
45,0.330877,,,,776.8
46,0.339298,,,,776.8
47,0.347701,,,,776.6
48,0.356298,,,,776.6
49,0.364957,,,,776.6
50,0.373671,,,,776.6
51,0.382423,,,,776.4
52,0.391254,,,,776.4
53,0.400117,,,,776.4
54,0.409048,,,,776.2
55,0.418093,,,,776.2
56,0.42729,,,,776.2
57,0.436643,,,,776.2
58,0.446134,,,,776.2
59,0.455586,,,,776.2
60,0.465197,,,,776.2
61,0.474916,,,,775.6
62,0.48463,,,,775.4
63,0.494394,,,,775
64,0.504232,,,,774.8
65,0.514113,,,,774.4
66,0.524027,,,,774.2
67,0.534056,,,,773.8
68,0.544176,,,,773.6
69,0.554342,,,,773.2
70,0.564554,,,,773
71,0.574787,,,,772.6
72,0.585036,,,,772.4
73,0.595431,,,,772
74,0.605929,,,,771.8
75,0.616428,,,,771.6
76,0.626941,,,,771.4
77,0.637469,,,,771.2
78,0.648031,,,,771
79,0.658622,,,,770.8
80,0.669252,,,,770.4
81,0.679917,,,,769.8
82,0.690623,,,,769.6
83,0.701414,,,,769.2
84,0.712293,,,,769
85,0.72323,,,,768.8
86,0.734208,,,,768.6
87,0.745255,,,,768.2
88,0.756396,,,,767.8
89,0.767524,,,,767.6
90,0.778636,,,,767.2
91,0.789797,,,,766.8
92,0.801031,,,,766.6
93,0.812253,,,,766.2
94,0.823464,,,,766
95,0.834683,,,,765.8
96,0.845862,,,,765.6
97,0.857001,,,,765.4
98,0.868122,,,,765
99,0.879212,,,,764.6
100,0.89027,,,,764.4
101,0.901337,,,,764
102,0.912353,,,,763.6
103,0.923352,,,,763.2
104,0.934301,,,,762.6
105,0.945221,,,,762.4
106,0.95612,,,,762
107,0.967002,,,,761.8
108,0.977855,,,,761.4
109,0.98864,,,,761.2
110,0.999466,,,,760.8
111,1.0103,,,,760.4
112,1.02108,,,,760.2
113,1.03188,,,,759.8
114,1.04266,,,,759.6
115,1.05339,,,,759.2
116,1.06406,,,,759
117,1.07472,,,,758.8
118,1.08536,,,,758.6
119,1.09604,,,,758.2
120,1.10673,,,,758
121,1.11733,,,,757.8
122,1.12788,,,,757.8
123,1.13836,,,,757.6
124,1.14886,,,,757.4
125,1.1594,,,,757.2
126,1.16996,,,,757
127,1.1806,,,,756.8
128,1.19123,,,,756.6
129,1.20186,,,,756.4
130,1.21244,,,,756.2
131,1.22297,,,,756
132,1.23349,,,,755.8
133,1.24404,,,,755.6
134,1.25472,,,,755.6
135,1.2654,,,,755.2
136,1.27631,,,,755
137,1.28747,,,,754.8
138,1.29886,,,,754.6
139,1.31038,,,,754.4
140,1.32173,,,,754.2
141,1.33294,,,,754
142,1.34406,,,,753.8
143,1.35512,,,,753.8
144,1.36617,,,,753.6
145,1.37727,,,,753.4
146,1.38839,,,,753.2
147,1.39952,,,,752.8
148,1.4107,,,,752.6
149,1.42193,,,,752.2
150,1.4332,,,,752
151,1.4445,,,,751.8
152,1.45581,,,,751.6
153,1.46721,,,,751.2
154,1.47865,,,,750.8
155,1.49012,,,,750.6
156,1.50162,,,,750.2
157,1.51321,,,,749.8
158,1.52469,,,,749.4
159,1.53621,,,,749.2
160,1.54781,,,,749
161,1.55947,,,,749
162,1.57118,,,,748.6
163,1.58288,,,,748.2
164,1.59467,,,,748
165,1.60656,,,,747.6
166,1.6186,,,,747.4
167,1.63071,,,,747
168,1.64286,,,,746.8
169,1.65509,,,,746.4
170,1.6674,,,,745.8
171,1.67972,,,,745.2
172,1.69195,,,,744.8
173,1.70417,,,,744.2
174,1.71641,,,,744
175,1.72868,,,,743.6
176,1.74099,,,,743.2
177,1.75328,,,,742.8
178,1.76555,,,,742
179,1.77778,,,,741.8
180,1.78995,,,,741.6
181,1.80202,,,,741.4
182,1.81393,,,,741
183,1.82566,,,,741
184,1.83744,,,,740.6
185,1.84897,,,,740.4
186,1.86037,,,,740
187,1.87171,,,,739.8
188,1.88297,,,,739.4
189,1.89416,,,,739.2
190,1.90523,,,,739
191,1.91623,,,,738.8
192,1.92719,,,,738.6
193,1.93809,,,,738.6
194,1.94882,,,,738.6
195,1.95947,,,,738.6
196,1.97008,,,,738.6
197,1.98067,,,,738.4
198,1.99129,,,,738.4
199,2.00193,,,,738.4
200,2.01259,,,,738.2
201,2.02327,,,,738.2
202,2.03395,,,,738
203,2.04464,,,,738
204,2.05536,,,,738
205,2.06615,,,,737.8
206,2.07695,,,,737.8
207,2.08778,,,,737.4
208,2.09857,,,,737.4
209,2.1094,,,,737.2
