secs,km,power,hr,cad,alt
0,0,,,0,0
2,0.00338077,,,43,1127
3,0.00508077,,,63,1127
5,0.00845277,,,61,1129
7,0.0114528,,,46,1129
9,0.0144528,,,44,1129
11,0.0176528,,,47,1130
13,0.0208528,,,80,1130
15,0.0236404,,,77,1130
17,0.0260282,,,76,1131
20,0.0293282,,,76,1132
22,0.0315282,,,62,1133
24,0.0337282,,,63,1133
26,0.0361282,,,72,1133
28,0.0387282,,,73,1133.06
30,0.0415282,,,73,1135
32,0.0443282,,,72,1135
34,0.0471282,,,69,1136
36,0.0499282,,,69,1137
38,0.0527282,,,69,1137
40,0.0557282,,,74,1137.02
42,0.0585282,,,69,1139
44,0.0615282,,,71,1139
46,0.0645282,,,67,1139.96
48,0.0675282,,,70,1140
50,0.0705282,,,70,1141
52,0.0735282,,,71,1141
54,0.0765282,,,71,1142
56,0.0795282,,,69,1142
58,0.0825282,,,71,1142
60,0.0855282,,,71,1142.07
62,0.0885282,,,71,1143.97
64,0.0915282,,,71,1144
66,0.0945282,,,68,1144.05
68,0.0975282,,,70,1145
70,0.100528,,,71,1145
72,0.103524,,,71,1146
74,0.106324,,,70,1146
76,0.109252,,,72,1146.64
77,0.110752,,,74,1147
79,0.113752,,,75,1147
80,0.115252,,,77,1147
82,0.118266,,,77,1148
84,0.121466,,,75,1149
85,0.123066,,,75,1149
87,0.126266,,,74,1149
89,0.129466,,,74,1149.06
91,0.132666,,,75,1150.07
93,0.135866,,,74,1151
94,0.137466,,,76,1151
96,0.140666,,,75,1151
98,0.143866,,,73,1152
100,0.147066,,,73,1152
102,0.150266,,,72,1153.07
104,0.153466,,,75,1154
106,0.156666,,,73,1154
107,0.158266,,,72,1154
109,0.161466,,,72,1154
111,0.164666,,,74,1155
113,0.167866,,,74,1155
115,0.171066,,,73,1156
117,0.174266,,,69,1156
119,0.177466,,,68,1156.96
121,0.180666,,,71,1157
123,0.183866,,,73,1157
125,0.187066,,,74,1157
127,0.190266,,,73,1157
129,0.193466,,,73,1157
131,0.196666,,,72,1158
133,0.199866,,,72,1158.82
135,0.203066,,,76,1159.02
137,0.206266,,,75,1160
139,0.209466,,,69,1161
141,0.212666,,,70,1161
143,0.215866,,,71,1161
145,0.219066,,,72,1161
147,0.222266,,,72,1161.97
149,0.225466,,,74,1162
151,0.228666,,,73,1162.05
153,0.231866,,,73,1163
155,0.235066,,,71,1163
157,0.238266,,,70,1163
159,0.241466,,,69,1164
161,0.244666,,,72,1164
162,0.246266,,,71,1164
164,0.249466,,,72,1164
166,0.252666,,,72,1164
168,0.255866,,,73,1164.07
170,0.259066,,,73,1165
172,0.262266,,,74,1165
174,0.265466,,,72,1165
176,0.268666,,,71,1165
178,0.27188,,,70,1166
180,0.27528,,,70,1166
182,0.27868,,,71,1166
184,0.28208,,,72,1166
186,0.28548,,,73,1167
188,0.28888,,,72,1167
190,0.29228,,,71,1167
192,0.29568,,,76,1168
194,0.29908,,,73,1168.06
196,0.30248,,,75,1170
198,0.30588,,,74,1169.93
200,0.30928,,,75,1170.07
201,0.31098,,,75,1171
203,0.31438,,,75,1170
205,0.31778,,,75,1170
207,0.32118,,,73,1171
209,0.32458,,,72,1171
211,0.32798,,,76,1171
213,0.33138,,,70,1171.06
215,0.33478,,,73,1172
217,0.33818,,,73,1172
219,0.34158,,,72,1172.07
221,0.34498,,,70,1173
223,0.34838,,,72,1173
225,0.35178,,,72,1173
227,0.35518,,,74,1173
229,0.35858,,,72,1173
231,0.36198,,,72,1174.07
233,0.36538,,,71,1175
235,0.36878,,,70,1175
237,0.37218,,,70,1175.06
239,0.37558,,,71,1176
241,0.378969,,,71,1176.05
243,0.382169,,,72,1177
245,0.385369,,,70,1177.07
247,0.388569,,,71,1178
249,0.391769,,,76,1178
251,0.394969,,,72,1179
253,0.398169,,,70,1179
255,0.401369,,,72,1179.07
257,0.404569,,,72,1180
259,0.407769,,,73,1180.06
261,0.410969,,,72,1181
263,0.414169,,,74,1181
265,0.417369,,,74,1182
267,0.420569,,,76,1182
269,0.423769,,,75,1182.07
271,0.426969,,,74,1183
273,0.430169,,,74,1183
275,0.433369,,,72,1183.07
277,0.436569,,,71,1184
279,0.439756,,,71,1185
282,0.444238,,,71,1185.06
284,0.447038,,,76,1186
286,0.449838,,,76,1187
288,0.452638,,,74,1187.07
290,0.455438,,,73,1188
292,0.458238,,,72,1188.07
294,0.461038,,,74,1189
296,0.463838,,,74,1189
298,0.466638,,,74,1189
300,0.469438,,,74,1190
302,0.472238,,,75,1190
304,0.475038,,,74,1190.82
306,0.477838,,,80,1192
308,0.480838,,,74,1192
310,0.483838,,,73,1192.07
312,0.486838,,,71,1193
314,0.489838,,,72,1193
316,0.492838,,,72,1194
318,0.495838,,,72,1194
320,0.498838,,,72,1195
322,0.501838,,,72,1195.97
324,0.504838,,,74,1196
326,0.507838,,,77,1197.07
328,0.510838,,,77,1198
330,0.513838,,,76,1198.07
332,0.516838,,,75,1199.06
334,0.519838,,,70,1200
336,0.522838,,,70,1200
338,0.525838,,,71,1200
340,0.528838,,,75,1200.06
342,0.531838,,,75,1201.82
344,0.534838,,,80,1202
346,0.537838,,,72,1202
348,0.540838,,,72,1203
350,0.543838,,,71,1203.96
352,0.546838,,,68,1204
354,0.549838,,,72,1204
356,0.552838,,,74,1204
358,0.555838,,,74,1205
360,0.558838,,,75,1205
362,0.561838,,,76,1206
364,0.564838,,,75,1207
366,0.567838,,,74,1207
368,0.570838,,,74,1207
370,0.574038,,,74,1206.06
371,0.575638,,,74,1207
372,0.577238,,,75,1207
374,0.580438,,,75,1206.94
376,0.583638,,,74,1205.07
378,0.587029,,,74,1206
379,0.588729,,,74,1207
381,0.592129,,,75,1207
382,0.593829,,,79,1207.01
